t	x	y
0.000	-2.702E-2	-1.308E-3
0.042	-2.702E-2	-1.308E-3
0.075	-2.489E-2	-1.624E-3
0.108	-2.211E-2	-2.023E-3
0.141	-1.890E-2	-2.559E-3
0.175	-1.509E-2	-2.858E-3
0.208	-1.071E-2	-3.242E-3
0.241	-5.881E-3	-3.527E-3
0.275	-7.660E-4	-3.697E-3
0.308	4.859E-3	-4.114E-3
0.341	1.073E-2	-4.423E-3
0.375	1.663E-2	-4.784E-3
0.408	2.284E-2	-4.947E-3
0.441	2.911E-2	-5.031E-3
0.475	3.541E-2	-4.949E-3
0.508	4.169E-2	-4.855E-3
0.541	4.779E-2	-4.840E-3
0.575	5.377E-2	-4.785E-3
0.608	5.946E-2	-4.796E-3
0.641	6.477E-2	-4.754E-3
0.674	6.963E-2	-4.531E-3
0.708	7.422E-2	-4.175E-3
0.741	7.819E-2	-4.026E-3
0.774	8.151E-2	-3.891E-3
0.808	8.437E-2	-3.936E-3
0.841	8.663E-2	-4.000E-3
0.874	8.808E-2	-4.008E-3
0.908	8.885E-2	-4.030E-3
0.941	8.879E-2	-4.055E-3
0.974	8.807E-2	-4.063E-3
1.008	8.664E-2	-4.155E-3
1.041	8.453E-2	-4.318E-3
1.074	8.182E-2	-4.626E-3
1.107	7.864E-2	-4.865E-3
1.141	7.460E-2	-4.980E-3
1.174	7.015E-2	-5.069E-3
1.207	6.512E-2	-5.187E-3
1.241	5.964E-2	-5.490E-3
1.274	5.392E-2	-5.638E-3
1.307	4.796E-2	-5.819E-3
1.341	4.174E-2	-6.095E-3
1.374	3.539E-2	-6.214E-3
1.407	2.916E-2	-6.206E-3
1.441	2.298E-2	-6.136E-3
1.474	1.683E-2	-6.090E-3
1.507	1.092E-2	-6.040E-3
1.541	5.286E-3	-6.000E-3
1.574	-2.120E-5	-5.898E-3
1.607	-4.941E-3	-5.673E-3
1.640	-9.428E-3	-5.484E-3
1.674	-1.349E-2	-5.185E-3
1.707	-1.697E-2	-4.910E-3
1.740	-1.991E-2	-4.835E-3
1.774	-2.214E-2	-4.767E-3
1.807	-2.389E-2	-4.741E-3
1.840	-2.501E-2	-4.780E-3
1.874	-2.551E-2	-4.756E-3
1.907	-2.544E-2	-4.787E-3
1.940	-2.472E-2	-4.877E-3
1.974	-2.334E-2	-4.985E-3
2.007	-2.126E-2	-5.298E-3
2.040	-1.857E-2	-5.582E-3
2.074	-1.536E-2	-5.804E-3
2.107	-1.157E-2	-6.173E-3
2.140	-7.197E-3	-6.305E-3
2.173	-2.504E-3	-6.516E-3
2.207	2.694E-3	-6.880E-3
2.240	8.098E-3	-7.133E-3
2.273	1.381E-2	-7.334E-3
2.307	1.973E-2	-7.477E-3
2.340	2.560E-2	-7.678E-3
2.373	3.189E-2	-7.710E-3
2.407	3.804E-2	-7.739E-3
2.440	4.435E-2	-7.804E-3
2.473	5.058E-2	-7.801E-3
2.507	5.644E-2	-7.750E-3
2.540	6.239E-2	-7.647E-3
2.573	6.789E-2	-7.426E-3
2.607	7.300E-2	-7.227E-3
2.640	7.773E-2	-7.000E-3
2.673	8.201E-2	-6.926E-3
2.706	8.540E-2	-6.904E-3
2.740	8.826E-2	-6.907E-3
2.773	9.059E-2	-6.801E-3
2.806	9.227E-2	-6.832E-3
2.840	9.316E-2	-6.869E-3
2.873	9.329E-2	-6.959E-3
2.906	9.284E-2	-6.937E-3
2.940	9.159E-2	-7.043E-3
2.973	8.967E-2	-7.156E-3
3.006	8.714E-2	-7.170E-3
3.040	8.398E-2	-7.343E-3
3.073	8.020E-2	-7.284E-3
3.106	7.572E-2	-7.441E-3
3.140	7.081E-2	-7.711E-3
3.173	6.576E-2	-7.787E-3
3.206	6.008E-2	-7.901E-3
3.239	5.423E-2	-8.039E-3
3.273	4.809E-2	-8.134E-3
3.306	4.179E-2	-8.275E-3
3.339	3.570E-2	-8.248E-3
3.373	2.945E-2	-8.220E-3
3.406	2.355E-2	-8.065E-3
3.439	1.787E-2	-7.821E-3
3.473	1.219E-2	-7.666E-3
3.506	6.842E-3	-7.410E-3
3.539	1.982E-3	-7.106E-3
3.573	-2.593E-3	-6.935E-3
3.606	-6.671E-3	-6.602E-3
3.639	-1.023E-2	-6.331E-3
3.673	-1.300E-2	-6.196E-3
3.706	-1.541E-2	-6.055E-3
3.739	-1.720E-2	-5.876E-3
3.772	-1.839E-2	-5.680E-3
3.806	-1.899E-2	-5.656E-3
3.839	-1.901E-2	-5.663E-3
3.872	-1.836E-2	-5.761E-3
3.906	-1.698E-2	-5.877E-3
3.939	-1.496E-2	-6.135E-3
3.972	-1.244E-2	-6.348E-3
4.006	-9.458E-3	-6.516E-3
4.039	-5.797E-3	-6.838E-3
4.072	-1.751E-3	-7.096E-3
4.106	2.795E-3	-7.505E-3
4.139	7.599E-3	-7.836E-3
4.172	1.274E-2	-8.016E-3
4.205	1.832E-2	-8.187E-3
4.239	2.387E-2	-8.428E-3
4.272	2.964E-2	-8.506E-3
4.305	3.568E-2	-8.581E-3
4.339	4.167E-2	-8.561E-3
4.372	4.769E-2	-8.445E-3
4.405	5.376E-2	-8.396E-3
4.439	5.942E-2	-8.240E-3
4.472	6.505E-2	-7.995E-3
4.505	7.028E-2	-7.697E-3
4.539	7.503E-2	-7.491E-3
4.572	7.950E-2	-7.324E-3
4.605	8.343E-2	-6.979E-3
4.639	8.678E-2	-6.870E-3
4.672	8.938E-2	-6.768E-3
4.705	9.152E-2	-6.669E-3
4.738	9.299E-2	-6.685E-3
4.772	9.382E-2	-6.761E-3
4.805	9.395E-2	-6.884E-3
4.838	9.344E-2	-6.835E-3
4.872	9.236E-2	-6.964E-3
4.905	9.052E-2	-7.007E-3
4.938	8.806E-2	-7.122E-3
4.972	8.499E-2	-7.182E-3
5.005	8.113E-2	-7.416E-3
5.038	7.667E-2	-7.742E-3
5.072	7.192E-2	-7.899E-3
5.105	6.669E-2	-8.002E-3
5.138	6.122E-2	-8.175E-3
5.172	5.568E-2	-8.426E-3
5.205	4.965E-2	-8.476E-3
5.238	4.364E-2	-8.503E-3
5.271	3.753E-2	-8.491E-3
5.305	3.151E-2	-8.475E-3
5.338	2.556E-2	-8.438E-3
5.371	1.993E-2	-8.285E-3
5.405	1.435E-2	-8.113E-3
5.438	9.079E-3	-7.943E-3
5.471	4.346E-3	-7.692E-3
5.505	-3.321E-4	-7.351E-3
5.538	-4.391E-3	-7.121E-3
5.571	-7.827E-3	-6.898E-3
5.605	-1.078E-2	-6.714E-3
5.638	-1.339E-2	-6.422E-3
5.671	-1.523E-2	-6.358E-3
5.705	-1.635E-2	-6.196E-3
5.738	-1.703E-2	-6.149E-3
5.771	-1.704E-2	-6.218E-3
5.804	-1.639E-2	-6.246E-3
5.838	-1.518E-2	-6.335E-3
5.871	-1.336E-2	-6.358E-3
5.904	-1.084E-2	-6.666E-3
5.938	-7.862E-3	-6.985E-3
5.971	-4.434E-3	-7.261E-3
6.004	-4.752E-4	-7.451E-3
6.038	3.880E-3	-7.704E-3
6.071	8.557E-3	-8.057E-3
6.104	1.365E-2	-8.217E-3
6.138	1.906E-2	-8.499E-3
