t	x	y
0.000	1.906E-2	-7.623E-3
0.057	2.417E-2	-7.619E-3
0.091	2.931E-2	-7.611E-3
0.124	3.474E-2	-7.607E-3
0.157	4.002E-2	-7.582E-3
0.191	4.515E-2	-7.586E-3
0.224	5.040E-2	-7.590E-3
0.257	5.541E-2	-7.509E-3
0.291	6.011E-2	-7.536E-3
0.324	6.473E-2	-7.417E-3
0.357	6.901E-2	-7.372E-3
0.391	7.282E-2	-7.442E-3
0.424	7.651E-2	-7.351E-3
0.457	7.976E-2	-7.498E-3
0.490	8.245E-2	-7.519E-3
0.524	8.466E-2	-7.553E-3
0.557	8.653E-2	-7.580E-3
0.590	8.794E-2	-7.683E-3
0.624	8.871E-2	-7.763E-3
0.657	8.909E-2	-7.767E-3
0.690	8.885E-2	-7.921E-3
0.724	8.799E-2	-8.193E-3
0.757	8.687E-2	-8.401E-3
0.790	8.515E-2	-8.530E-3
0.824	8.289E-2	-8.966E-3
0.857	8.004E-2	-9.267E-3
0.890	7.681E-2	-9.655E-3
0.924	7.346E-2	-9.966E-3
0.957	6.952E-2	-1.017E-2
0.990	6.501E-2	-1.069E-2
1.023	6.053E-2	-1.081E-2
1.057	5.593E-2	-1.111E-2
1.090	5.068E-2	-1.152E-2
1.123	4.548E-2	-1.161E-2
1.157	4.021E-2	-1.170E-2
1.190	3.485E-2	-1.180E-2
1.223	2.930E-2	-1.211E-2
1.257	2.396E-2	-1.230E-2
1.290	1.895E-2	-1.235E-2
1.323	1.367E-2	-1.234E-2
1.357	8.789E-3	-1.236E-2
1.390	4.155E-3	-1.236E-2
1.423	-7.916E-5	-1.233E-2
1.457	-4.192E-3	-1.231E-2
1.490	-7.791E-3	-1.231E-2
1.523	-1.099E-2	-1.229E-2
1.556	-1.397E-2	-1.226E-2
1.590	-1.631E-2	-1.222E-2
1.623	-1.818E-2	-1.223E-2
1.656	-1.963E-2	-1.220E-2
1.690	-2.046E-2	-1.219E-2
1.723	-2.098E-2	-1.219E-2
1.756	-2.104E-2	-1.224E-2
1.790	-2.037E-2	-1.227E-2
1.823	-1.941E-2	-1.222E-2
1.856	-1.791E-2	-1.227E-2
1.890	-1.570E-2	-1.233E-2
