t	x	y
0.000	1.923E-2	-2.331E-3
0.061	1.399E-2	-2.331E-3
0.095	8.923E-3	-2.102E-3
0.128	3.733E-3	-1.825E-3
0.161	-1.254E-3	-1.492E-3
0.194	-6.074E-3	-1.222E-3
0.228	-1.086E-2	-8.003E-4
0.261	-1.523E-2	-5.957E-4
0.294	-1.956E-2	-2.644E-4
0.328	-2.359E-2	3.548E-5
0.361	-2.714E-2	3.195E-4
0.394	-3.055E-2	7.370E-4
0.428	-3.336E-2	8.947E-4
0.461	-3.596E-2	1.239E-3
0.494	-3.799E-2	1.322E-3
0.528	-3.960E-2	1.395E-3
0.561	-4.077E-2	1.423E-3
0.594	-4.140E-2	1.453E-3
0.628	-4.162E-2	1.407E-3
0.661	-4.145E-2	1.362E-3
0.694	-4.063E-2	1.287E-3
0.727	-3.946E-2	1.229E-3
0.761	-3.772E-2	8.912E-4
0.794	-3.569E-2	7.465E-4
0.827	-3.308E-2	3.572E-4
0.861	-3.015E-2	2.006E-4
0.894	-2.668E-2	-2.004E-4
0.927	-2.298E-2	-5.048E-4
0.961	-1.889E-2	-8.019E-4
0.994	-1.450E-2	-1.224E-3
1.027	-9.842E-3	-1.570E-3
1.061	-5.141E-3	-1.887E-3
1.094	-9.182E-5	-2.265E-3
1.127	4.981E-3	-2.484E-3
1.161	1.026E-2	-2.781E-3
1.194	1.548E-2	-2.949E-3
1.227	2.073E-2	-3.248E-3
1.260	2.587E-2	-3.393E-3
1.294	3.093E-2	-3.480E-3
1.327	3.586E-2	-3.522E-3
1.360	4.049E-2	-3.518E-3
1.394	4.493E-2	-3.512E-3
1.427	4.911E-2	-3.475E-3
1.460	5.285E-2	-3.467E-3
1.494	5.615E-2	-3.439E-3
1.527	5.902E-2	-3.387E-3
1.560	6.136E-2	-3.374E-3
1.594	6.315E-2	-3.337E-3
1.627	6.442E-2	-3.333E-3
1.660	6.515E-2	-3.301E-3
1.694	6.537E-2	-3.333E-3
1.727	6.494E-2	-3.339E-3
1.760	6.390E-2	-3.347E-3
1.793	6.236E-2	-3.322E-3
1.827	6.030E-2	-3.326E-3
1.860	5.776E-2	-3.313E-3
1.893	5.471E-2	-3.329E-3
1.927	5.125E-2	-3.301E-3
1.960	4.747E-2	-3.297E-3
1.993	4.336E-2	-3.260E-3
2.027	3.896E-2	-3.195E-3
2.060	3.426E-2	-3.104E-3
2.093	2.935E-2	-2.873E-3
2.127	2.437E-2	-2.763E-3
2.160	1.927E-2	-2.610E-3
2.193	1.411E-2	-2.396E-3
2.227	9.018E-3	-2.240E-3
2.260	3.949E-3	-1.902E-3
2.293	-9.302E-4	-1.689E-3
2.326	-5.737E-3	-1.343E-3
2.360	-1.026E-2	-1.085E-3
2.393	-1.467E-2	-7.830E-4
2.426	-1.875E-2	-4.944E-4
2.460	-2.244E-2	-1.869E-4
2.493	-2.593E-2	1.623E-4
2.526	-2.897E-2	3.976E-4
2.560	-3.168E-2	6.400E-4
2.593	-3.389E-2	8.100E-4
2.626	-3.570E-2	9.285E-4
2.660	-3.705E-2	9.616E-4
2.693	-3.790E-2	9.374E-4
2.726	-3.835E-2	8.820E-4
2.760	-3.833E-2	8.385E-4
2.793	-3.786E-2	7.840E-4
2.826	-3.684E-2	7.192E-4
2.859	-3.531E-2	3.869E-4
2.893	-3.331E-2	2.475E-4
2.926	-3.100E-2	-8.227E-5
2.959	-2.819E-2	-3.016E-4
2.993	-2.495E-2	-7.036E-4
3.026	-2.145E-2	-9.332E-4
3.059	-1.759E-2	-1.283E-3
3.093	-1.344E-2	-1.702E-3
3.126	-9.070E-3	-1.945E-3
3.159	-4.379E-3	-2.317E-3
3.193	4.645E-4	-2.570E-3
3.226	5.439E-3	-2.837E-3
3.259	1.048E-2	-3.008E-3
3.292	1.560E-2	-3.306E-3
3.326	2.067E-2	-3.449E-3
3.359	2.579E-2	-3.662E-3
3.392	3.072E-2	-3.871E-3
3.426	3.551E-2	-3.931E-3
3.459	4.003E-2	-3.964E-3
3.492	4.438E-2	-3.979E-3
3.526	4.847E-2	-3.988E-3
3.559	5.202E-2	-3.976E-3
3.592	5.531E-2	-3.952E-3
3.626	5.820E-2	-3.919E-3
3.659	6.056E-2	-3.905E-3
3.692	6.238E-2	-3.886E-3
3.726	6.371E-2	-3.871E-3
3.759	6.443E-2	-3.884E-3
3.792	6.455E-2	-3.879E-3
3.825	6.415E-2	-3.861E-3
3.859	6.326E-2	-3.876E-3
3.892	6.174E-2	-3.873E-3
3.925	5.968E-2	-3.877E-3
3.959	5.712E-2	-3.870E-3
3.992	5.410E-2	-3.863E-3
4.025	5.071E-2	-3.867E-3
4.059	4.691E-2	-3.850E-3
4.092	4.264E-2	-3.841E-3
4.125	3.819E-2	-3.780E-3
4.159	3.348E-2	-3.705E-3
4.192	2.853E-2	-3.531E-3
4.225	2.344E-2	-3.345E-3
4.259	1.824E-2	-3.204E-3
4.292	1.302E-2	-2.993E-3
4.325	7.810E-3	-2.761E-3
4.358	2.655E-3	-2.401E-3
4.392	-2.368E-3	-2.166E-3
4.425	-7.351E-3	-1.849E-3
4.458	-1.207E-2	-1.529E-3
4.492	-1.651E-2	-1.209E-3
4.525	-2.076E-2	-8.341E-4
4.558	-2.460E-2	-6.033E-4
4.592	-2.823E-2	-2.799E-4
4.625	-3.149E-2	9.359E-5
4.658	-3.431E-2	2.965E-4
4.692	-3.686E-2	5.843E-4
4.725	-3.888E-2	7.874E-4
4.758	-4.044E-2	8.524E-4
4.792	-4.153E-2	8.696E-4
4.825	-4.211E-2	8.386E-4
4.858	-4.217E-2	7.964E-4
