t	x	y
0.000	-8.417E-3	3.355E-3
0.051	-1.452E-2	6.407E-3
0.084	-9.375E-3	6.408E-3
0.117	-4.231E-3	6.398E-3
0.151	8.215E-4	6.397E-3
0.184	5.911E-3	6.329E-3
0.217	1.093E-2	6.345E-3
0.251	1.575E-2	6.417E-3
0.284	2.033E-2	6.490E-3
0.317	2.478E-2	6.816E-3
0.351	2.888E-2	6.953E-3
0.384	3.266E-2	7.031E-3
0.417	3.566E-2	6.670E-3
0.450	3.885E-2	6.551E-3
0.484	4.149E-2	6.540E-3
0.517	4.377E-2	6.742E-3
0.550	4.546E-2	6.956E-3
0.584	4.674E-2	7.006E-3
0.617	4.761E-2	7.037E-3
0.650	4.801E-2	7.036E-3
0.684	4.781E-2	6.939E-3
0.717	4.716E-2	6.966E-3
0.750	4.604E-2	6.974E-3
0.784	4.439E-2	6.971E-3
0.817	4.239E-2	7.035E-3
0.850	4.019E-2	7.197E-3
0.884	3.757E-2	7.385E-3
0.917	3.419E-2	7.268E-3
0.950	3.051E-2	7.340E-3
0.983	2.655E-2	7.352E-3
1.017	2.223E-2	7.353E-3
1.050	1.750E-2	7.446E-3
1.083	1.276E-2	7.459E-3
1.117	7.842E-3	7.432E-3
1.150	2.751E-3	7.426E-3
1.183	-2.412E-3	7.485E-3
1.217	-7.688E-3	7.575E-3
1.250	-1.300E-2	7.678E-3
1.283	-1.820E-2	7.802E-3
1.317	-2.326E-2	7.831E-3
1.350	-2.822E-2	7.817E-3
1.383	-3.300E-2	7.940E-3
1.416	-3.762E-2	8.116E-3
1.450	-4.205E-2	8.258E-3
1.483	-4.612E-2	8.038E-3
1.516	-4.972E-2	8.113E-3
1.550	-5.334E-2	8.284E-3
1.583	-5.649E-2	8.371E-3
1.616	-5.934E-2	8.721E-3
1.650	-6.182E-2	9.169E-3
1.683	-6.381E-2	9.347E-3
1.716	-6.519E-2	9.359E-3
1.750	-6.625E-2	9.431E-3
1.783	-6.688E-2	9.371E-3
1.816	-6.696E-2	9.317E-3
1.850	-6.648E-2	9.256E-3
1.883	-6.555E-2	9.238E-3
1.916	-6.413E-2	9.203E-3
1.949	-6.235E-2	9.213E-3
1.983	-6.007E-2	9.113E-3
2.016	-5.737E-2	8.919E-3
2.049	-5.437E-2	8.673E-3
2.083	-5.090E-2	8.340E-3
2.116	-4.713E-2	8.125E-3
2.149	-4.306E-2	8.051E-3
2.183	-3.879E-2	7.974E-3
2.216	-3.433E-2	7.875E-3
2.249	-2.963E-2	7.716E-3
2.283	-2.482E-2	7.563E-3
2.316	-1.994E-2	7.507E-3
2.349	-1.505E-2	7.421E-3
2.383	-1.011E-2	7.430E-3
2.416	-5.265E-3	7.459E-3
2.449	-6.646E-4	7.528E-3
2.482	3.886E-3	7.577E-3
2.516	8.261E-3	7.562E-3
2.549	1.233E-2	7.592E-3
2.582	1.622E-2	7.590E-3
2.616	1.971E-2	7.652E-3
2.649	2.303E-2	7.864E-3
2.682	2.581E-2	8.110E-3
2.716	2.828E-2	8.181E-3
2.749	3.022E-2	8.177E-3
2.782	3.168E-2	8.170E-3
2.816	3.275E-2	8.184E-3
2.849	3.338E-2	8.217E-3
2.882	3.350E-2	8.280E-3
2.916	3.312E-2	8.247E-3
2.949	3.218E-2	8.361E-3
2.982	3.083E-2	8.182E-3
3.015	2.901E-2	8.123E-3
3.049	2.669E-2	8.087E-3
3.082	2.412E-2	8.081E-3
3.115	2.104E-2	8.103E-3
3.149	1.749E-2	8.065E-3
3.182	1.373E-2	7.991E-3
3.215	9.663E-3	8.021E-3
3.249	5.235E-3	7.918E-3
3.282	6.512E-4	8.002E-3
3.315	-4.054E-3	8.104E-3
3.349	-8.933E-3	8.094E-3
3.382	-1.392E-2	8.177E-3
3.415	-1.920E-2	8.229E-3
3.449	-2.440E-2	8.213E-3
3.482	-2.961E-2	8.247E-3
3.515	-3.472E-2	8.316E-3
3.548	-3.983E-2	8.460E-3
3.582	-4.476E-2	8.737E-3
3.615	-4.943E-2	8.924E-3
3.648	-5.399E-2	9.094E-3
3.682	-5.827E-2	9.304E-3
3.715	-6.232E-2	9.421E-3
3.748	-6.612E-2	9.555E-3
3.782	-6.941E-2	9.815E-3
3.815	-7.233E-2	9.905E-3
3.848	-7.485E-2	1.009E-2
3.882	-7.711E-2	1.013E-2
3.915	-7.894E-2	1.031E-2
3.948	-8.018E-2	1.032E-2
3.982	-8.103E-2	1.036E-2
4.015	-8.139E-2	1.032E-2
4.048	-8.128E-2	1.036E-2
4.081	-8.069E-2	1.036E-2
4.115	-7.960E-2	1.029E-2
4.148	-7.803E-2	1.001E-2
4.181	-7.610E-2	9.842E-3
4.215	-7.376E-2	9.794E-3
4.248	-7.098E-2	9.664E-3
4.281	-6.773E-2	9.517E-3
4.315	-6.415E-2	9.289E-3
4.348	-6.029E-2	9.174E-3
4.381	-5.616E-2	8.997E-3
4.415	-5.181E-2	8.798E-3
4.448	-4.722E-2	8.686E-3
4.481	-4.246E-2	8.562E-3
4.514	-3.763E-2	8.456E-3
4.548	-3.254E-2	8.319E-3
4.581	-2.758E-2	8.250E-3
4.614	-2.264E-2	8.190E-3
4.648	-1.774E-2	8.164E-3
4.681	-1.308E-2	8.114E-3
4.714	-8.559E-3	8.192E-3
4.748	-4.189E-3	8.231E-3
4.781	-2.345E-5	8.241E-3
4.814	3.795E-3	8.346E-3
4.848	7.279E-3	8.354E-3
4.881	1.055E-2	8.409E-3
4.914	1.338E-2	8.615E-3
4.948	1.578E-2	8.710E-3
4.981	1.787E-2	8.791E-3
5.014	1.951E-2	8.870E-3
5.047	2.075E-2	8.998E-3
5.081	2.142E-2	9.083E-3
5.114	2.163E-2	9.130E-3
5.147	2.135E-2	9.234E-3
5.181	2.061E-2	9.276E-3
5.214	1.954E-2	9.238E-3
5.247	1.792E-2	9.294E-3
5.281	1.582E-2	9.232E-3
5.314	1.334E-2	9.217E-3
5.347	1.045E-2	9.233E-3
5.381	7.211E-3	9.206E-3
5.414	3.639E-3	9.181E-3
5.447	-2.367E-4	9.146E-3
5.481	-4.473E-3	9.220E-3
5.514	-8.895E-3	9.226E-3
5.547	-1.348E-2	9.272E-3
5.580	-1.805E-2	9.311E-3
5.614	-2.300E-2	9.295E-3
5.647	-2.805E-2	9.328E-3
5.680	-3.313E-2	9.393E-3
5.714	-3.842E-2	9.412E-3
5.747	-4.337E-2	9.596E-3
5.780	-4.838E-2	9.840E-3
5.814	-5.323E-2	9.936E-3
5.847	-5.783E-2	1.007E-2
5.880	-6.220E-2	1.022E-2
5.914	-6.646E-2	1.038E-2
5.947	-7.034E-2	1.054E-2
5.980	-7.389E-2	1.080E-2
6.014	-7.718E-2	1.094E-2
6.047	-8.009E-2	1.101E-2
6.080	-7.967E-2	1.125E-2
6.113	-8.047E-2	1.133E-2
6.147	-7.981E-2	1.153E-2
6.180	-8.108E-2	1.132E-2
6.213	-8.210E-2	1.149E-2
6.247	-8.213E-2	1.150E-2
6.280	-8.186E-2	1.142E-2
6.313	-8.110E-2	1.129E-2
6.347	-8.006E-2	1.122E-2
6.380	-7.841E-2	1.108E-2
6.413	-7.620E-2	1.096E-2
6.447	-7.379E-2	1.078E-2
6.480	-7.092E-2	1.049E-2
6.513	-6.759E-2	1.039E-2
6.547	-6.396E-2	1.017E-2
6.580	-6.013E-2	9.992E-3
6.613	-5.581E-2	9.832E-3
6.646	-5.128E-2	9.761E-3
6.680	-4.668E-2	9.544E-3
6.713	-4.180E-2	9.302E-3
6.746	-3.687E-2	9.224E-3
6.780	-3.177E-2	9.188E-3
6.813	-2.672E-2	9.121E-3
6.846	-2.165E-2	9.157E-3
6.880	-1.668E-2	9.162E-3
6.913	-1.191E-2	9.204E-3
6.946	-7.298E-3	9.216E-3
6.980	-2.816E-3	9.280E-3
7.013	1.400E-3	9.303E-3
7.046	5.377E-3	9.328E-3
7.080	9.008E-3	9.420E-3
