t	x	y
0.000	1.498E-2	-3.177E-3
0.063	7.361E-3	-3.812E-3
0.097	8.546E-4	-3.557E-3
0.130	-5.476E-3	-3.244E-3
0.163	-1.131E-2	-2.810E-3
0.196	-1.682E-2	-2.365E-3
0.230	-2.176E-2	-2.008E-3
0.263	-2.644E-2	-1.590E-3
0.296	-3.048E-2	-1.169E-3
0.330	-3.380E-2	-8.986E-4
0.363	-3.663E-2	-6.199E-4
0.396	-3.884E-2	-4.179E-4
0.430	-4.039E-2	-3.061E-4
0.463	-4.113E-2	-2.706E-4
0.496	-4.131E-2	-2.848E-4
0.530	-4.075E-2	-3.367E-4
0.563	-3.955E-2	-4.210E-4
0.596	-3.774E-2	-5.158E-4
0.629	-3.527E-2	-8.222E-4
0.663	-3.217E-2	-1.061E-3
0.696	-2.847E-2	-1.435E-3
0.729	-2.417E-2	-1.714E-3
0.763	-1.938E-2	-2.074E-3
0.796	-1.409E-2	-2.498E-3
0.829	-8.399E-3	-2.861E-3
0.863	-2.370E-3	-3.189E-3
0.896	4.111E-3	-3.523E-3
0.929	1.072E-2	-3.673E-3
0.963	1.757E-2	-3.879E-3
0.996	2.449E-2	-3.965E-3
1.029	3.152E-2	-3.921E-3
1.063	3.873E-2	-3.870E-3
1.096	4.569E-2	-3.754E-3
1.129	5.267E-2	-3.617E-3
1.162	5.943E-2	-3.379E-3
1.196	6.588E-2	-3.024E-3
1.229	7.207E-2	-2.758E-3
1.262	7.790E-2	-2.375E-3
1.296	8.293E-2	-2.051E-3
1.329	8.758E-2	-1.743E-3
1.362	9.141E-2	-1.527E-3
1.396	9.455E-2	-1.390E-3
1.429	9.699E-2	-1.148E-3
1.462	9.878E-2	-1.025E-3
1.496	9.669E-2	-1.052E-3
1.529	0.101	-1.032E-3
1.562	9.936E-2	-1.050E-3
1.596	9.786E-2	-1.121E-3
1.629	9.552E-2	-1.318E-3
1.662	9.262E-2	-1.552E-3
1.695	8.888E-2	-1.767E-3
1.729	8.435E-2	-2.078E-3
1.762	7.952E-2	-2.334E-3
1.795	7.392E-2	-2.694E-3
1.829	6.786E-2	-3.067E-3
1.862	6.155E-2	-3.368E-3
1.895	5.480E-2	-3.662E-3
1.929	4.791E-2	-3.863E-3
1.962	4.090E-2	-3.999E-3
1.995	3.368E-2	-4.023E-3
2.029	2.673E-2	-3.978E-3
2.062	1.960E-2	-3.853E-3
2.095	1.279E-2	-3.704E-3
2.129	6.103E-3	-3.467E-3
2.162	-3.192E-4	-3.137E-3
2.195	-6.515E-3	-2.797E-3
2.228	-1.229E-2	-2.426E-3
2.262	-1.774E-2	-2.099E-3
2.295	-2.256E-2	-1.698E-3
2.328	-2.692E-2	-1.320E-3
2.362	-3.088E-2	-1.010E-3
2.395	-3.410E-2	-7.596E-4
2.428	-3.670E-2	-5.486E-4
2.462	-3.871E-2	-3.752E-4
2.495	-3.996E-2	-3.161E-4
2.528	-4.076E-2	-2.653E-4
2.562	-4.073E-2	-3.380E-4
2.595	-4.012E-2	-4.002E-4
2.628	-3.879E-2	-4.902E-4
2.662	-3.680E-2	-6.164E-4
2.695	-3.427E-2	-9.211E-4
2.728	-3.108E-2	-1.090E-3
2.761	-2.727E-2	-1.487E-3
2.795	-2.283E-2	-1.778E-3
2.828	-1.803E-2	-2.114E-3
2.861	-1.268E-2	-2.546E-3
2.895	-6.829E-3	-2.916E-3
2.928	-7.435E-4	-3.194E-3
2.961	5.685E-3	-3.542E-3
2.995	1.235E-2	-3.817E-3
3.028	1.922E-2	-3.985E-3
3.061	2.615E-2	-4.070E-3
3.095	3.307E-2	-4.013E-3
3.128	4.004E-2	-3.919E-3
3.161	4.693E-2	-3.847E-3
3.195	5.370E-2	-3.755E-3
3.228	6.010E-2	-3.629E-3
3.261	6.633E-2	-3.459E-3
3.294	7.197E-2	-3.189E-3
3.328	7.742E-2	-2.890E-3
3.361	8.206E-2	-2.679E-3
3.394	8.617E-2	-2.523E-3
3.428	8.973E-2	-2.278E-3
3.461	9.249E-2	-2.096E-3
3.494	9.455E-2	-2.049E-3
3.528	9.569E-2	-2.047E-3
3.561	9.608E-2	-1.974E-3
